Published_date,Open,High,Low,Close,Per_change,Traded_quantity,Traded_amount,Status,Date,ema_short,ema_long,ema_diff,ema_cross
2023-09-27,800.0,800.0,769.3,777.4,-1.42,79635.0,61930826.8,-1,2023-09-27,791.9805180795063,792.7574517602528,-0.7769336807465379,-1
2023-10-01,780.0,790.0,758.6,765.0,-1.6,122313.0,93553851.3,-1,2023-10-01,785.9848473951715,789.8356147328577,-3.850767337686193,0
2023-10-02,765.0,766.0,756.0,761.5,-0.46,285352.0,216809141.3,-1,2023-10-02,780.5437701962445,786.8529184451885,-6.309148248943984,0
2023-10-03,600.0,601.0,573.0,573.0,-2.93,91760.0,53028691.0,-1,2023-10-03,734.4229323748569,764.3420849246423,-29.919152549785395,0
2023-10-04,573.0,573.0,566.1,568.0,-0.87,55162.0,31343038.8,-1,2023-10-04,697.4400585137776,743.6744970378379,-46.23443852406035,0
2023-10-05,567.0,567.0,559.0,562.0,-1.06,38826.0,21871719.5,-1,2023-10-05,667.3422677329381,724.5508657706971,-57.208598037758975,0
2023-10-08,562.0,573.0,548.1,549.0,-2.31,81362.0,44984256.5,-1,2023-10-08,641.0439860145075,706.0718272685184,-65.02784125401092,0
2023-10-09,555.0,558.0,541.0,541.9,-1.29,40407.0,21981800.3,-1,2023-10-09,619.0119891223947,688.7905822928849,-69.77859317049024,0
2023-10-10,542.9,544.0,535.3,536.0,-1.09,56229.0,30299574.8,-1,2023-10-10,600.5648804285291,672.7073631041602,-72.14248267563107,0
2023-10-11,536.3,542.9,531.0,535.0,-0.19,66243.0,35453588.7,-1,2023-10-11,585.9949069999672,658.211851198459,-72.21694419849189,0
2023-10-12,538.0,538.0,529.0,531.0,-0.75,47891.0,25427259.2,-1,2023-10-12,573.77381655553,644.8211300196738,-71.04731346414383,0
2023-10-16,536.0,541.0,510.0,515.0,-3.01,66053.0,34335641.9,-1,2023-10-16,560.7129684320788,631.1557479123397,-70.44277948026092,0
2023-10-17,516.0,528.0,515.0,517.2,0.43,57459.0,29814554.8,1,2023-10-17,551.0434198916168,619.1604060268303,-68.11698613521344,0
2023-10-18,520.0,539.0,520.0,538.0,4.02,31104.0,16537236.3,1,2023-10-18,548.1448821379242,610.6172053924271,-62.47232325450284,0
2023-10-19,538.0,546.0,532.0,542.5,0.84,45018.0,24315475.1,1,2023-10-19,546.8904638850522,603.4469732458558,-56.5565093608036,0
2023-10-29,541.0,542.0,531.1,533.6,-1.64,28904.0,15451365.2,-1,2023-10-29,543.9370274661517,596.0946602726079,-52.15763280645626,0
2023-10-30,543.9,543.9,530.2,536.2,0.49,16196.0,8647938.5,-1,2023-10-30,542.2176880292291,589.7899591912808,-47.57227116205172,0
2023-10-31,535.1,543.0,529.0,530.0,-1.16,21230.0,11297586.6,-1,2023-10-31,539.5026462449559,583.4962792764092,-43.993633031453214,0
2023-11-01,539.7,539.7,527.0,530.0,0.0,14536.0,7690633.8,-1,2023-11-01,537.3909470794101,577.8650919841556,-40.47414490474546,0
2023-11-02,527.0,530.0,519.3,519.4,-2.0,26372.0,13755258.7,-1,2023-11-02,533.3929588395413,571.710871775297,-38.31791293575577,0
2023-11-05,520.0,520.0,499.9,501.0,-3.54,60499.0,30380210.8,-1,2023-11-05,526.1945235418655,564.2676221147394,-38.07309857287396,0
2023-11-06,504.0,505.9,497.6,498.0,-0.6,42864.0,21460342.3,-1,2023-11-06,519.9290738658954,557.2920829447669,-37.36300907887153,0
2023-11-06,504.0,505.9,497.6,498.0,-0.6,42864.0,21460342.3,-1,2023-11-06,515.0559463401408,551.0508110558441,-35.994864715703216,0
