prev_2_a,prev_2_b,next,date_prev_2_a,date_prev_2_b,date_next,date_completion,date_prev_2_a_label,date_prev_2_b_label,date_next_label,date_completion_label,next_role,completion_role
IN_DOWN,IN_DOWN,IN_UP,2019-07-14,2019-07-24,2019-09-26,2020-02-27,14 Jul 2019,24 Jul 2019,26 Sep 2019,27 Feb 2020,0,3
IN_DOWN,IN_UP,IN_UP,2019-07-24,2019-09-26,2019-12-15,2020-02-27,24 Jul 2019,26 Sep 2019,15 Dec 2019,27 Feb 2020,1,3
IN_UP,IN_UP,IN_UP,2019-09-26,2019-12-15,2019-12-30,2020-02-27,26 Sep 2019,15 Dec 2019,30 Dec 2019,27 Feb 2020,2,3
IN_UP,IN_UP,IN_UP,2019-12-15,2019-12-30,2020-02-27,2020-02-27,15 Dec 2019,30 Dec 2019,27 Feb 2020,27 Feb 2020,3,3
IN_UP,IN_UP,IN_UP,2020-11-24,2020-12-09,2021-02-18,2021-02-18,24 Nov 2020,09 Dec 2020,18 Feb 2021,18 Feb 2021,3,3
IN_UP,IN_UP,IN_UP,2020-12-09,2021-02-18,2021-03-15,2021-04-15,09 Dec 2020,18 Feb 2021,15 Mar 2021,15 Apr 2021,2,3
IN_UP,IN_UP,IN_UP,2021-02-18,2021-03-15,2021-04-15,2021-04-15,18 Feb 2021,15 Mar 2021,15 Apr 2021,15 Apr 2021,3,3
IN_UP,IN_UP,OUT_DOWN,2021-03-15,2021-04-15,2021-05-23,2021-06-21,15 Mar 2021,15 Apr 2021,23 May 2021,21 Jun 2021,0,3
OUT_DOWN,IN_DOWN,IN_DOWN,2021-05-23,2021-06-02,2021-06-06,2021-06-21,23 May 2021,02 Jun 2021,06 Jun 2021,21 Jun 2021,2,3
IN_DOWN,IN_DOWN,IN_DOWN,2021-06-02,2021-06-06,2021-06-21,2021-06-21,02 Jun 2021,06 Jun 2021,21 Jun 2021,21 Jun 2021,3,3
IN_DOWN,IN_DOWN,OUT_DOWN,2021-06-06,2021-06-21,2021-10-31,2021-12-13,06 Jun 2021,21 Jun 2021,31 Oct 2021,13 Dec 2021,0,3
OUT_DOWN,IN_DOWN,IN_DOWN,2021-10-31,2021-11-11,2021-11-17,2021-12-13,31 Oct 2021,11 Nov 2021,17 Nov 2021,13 Dec 2021,2,3
IN_DOWN,IN_DOWN,IN_DOWN,2021-11-11,2021-11-17,2021-12-13,2021-12-13,11 Nov 2021,17 Nov 2021,13 Dec 2021,13 Dec 2021,3,3
IN_DOWN,IN_DOWN,OUT_DOWN,2021-11-17,2021-12-13,2022-01-20,2025-01-27,17 Nov 2021,13 Dec 2021,20 Jan 2022,27 Jan 2025,0,3
IN_DOWN,OUT_DOWN,IN_DOWN,2021-12-13,2022-01-20,2022-04-06,2025-01-27,13 Dec 2021,20 Jan 2022,06 Apr 2022,27 Jan 2025,1,3
OUT_DOWN,IN_DOWN,IN_DOWN,2022-01-20,2022-04-06,2022-05-12,2025-01-27,20 Jan 2022,06 Apr 2022,12 May 2022,27 Jan 2025,0,3
IN_DOWN,IN_DOWN,IN_DOWN,2022-04-06,2022-05-12,2022-07-11,2025-01-27,06 Apr 2022,12 May 2022,11 Jul 2022,27 Jan 2025,1,3
IN_DOWN,IN_DOWN,IN_DOWN,2022-05-12,2022-07-11,2022-07-25,2025-01-27,12 May 2022,11 Jul 2022,25 Jul 2022,27 Jan 2025,2,3
